,São Paulo,Minas Gerais,Paraná,Rio Grande do Sul,Rio de Janeiro,Bahia,Pernambuco,Santa Catarina,Ceará,Goiás,Pará,Maranhão,Espírito Santo,Rio Grande do Norte,Paraíba,Distrito Federal,Mato Grosso do Sul,Piauí,Alagoas,Mato Grosso,Amazonas,Sergipe,Tocantins,Rondônia,Acre,Roraima,Amapá
2014/Jun,263.42982531,134.14314346,87.76735512,85.17600881,63.6097099,58.20672334,56.866104240000006,52.660305560000005,43.57889104,32.48009298,28.1634134,24.68868501,21.090092170000002,16.23449193,16.14206665,16.249619640000002,14.707272199999998,13.753793880000002,13.67877174,13.846204380000001,10.61320866,6.7337432,7.45387463,6.93486498,3.1387597400000002,1.77853078,1.83911366
2014/Jul,277.89578558999995,142.59669151,94.61406692,90.59215629,66.14392535,66.29907859000001,60.94320881,56.21559689,44.45537537,33.30355127,29.16272748,26.22695569,21.98216959,17.895994390000002,17.118592149999998,15.58721518,15.41781214,14.60864802,14.84350614,14.70953015,10.530622359999999,6.67129558,7.6667923600000005,7.15061114,3.01189865,1.83932194,1.94005621
2014/Ago,278.1639715,138.77411263,91.49412119,89.98004686,64.97411377,65.8188773,61.86864919,55.324178409999995,43.55468226,34.444400159999994,29.04220836,26.179528670000003,22.80498755,16.240425939999998,16.517254,14.95461088,15.6624941,14.70754363,14.481399,13.939134359999999,10.78944965,6.98949,7.67132007,6.95788267,3.11143136,1.81800317,1.92035335
2014/Set,283.48895785,139.25742521,91.34304575,90.63554474,65.13661424,66.00560583,63.477384969999996,54.8004077,43.024685909999995,35.77940372,29.65786887,26.06668011,21.86310385,16.32561703,16.787470589999998,14.30993108,15.34150178,14.43947637,15.44600419,13.6446179,11.37308593,8.1126804,7.6478945099999995,7.057715900000001,2.6305603900000003,1.89092498,1.96689786
2014/Out,277.24432524,143.67646188,94.90437335,93.41654853,63.994985920000005,67.82302471,61.10128528,53.963254369999994,43.55254465,35.382520840000005,28.900904079999997,26.20706217,22.52236857,17.07831428,16.734999730000002,13.765945140000001,15.48049635,14.29327406,15.36519667,14.958564619999999,11.78049451,7.590057900000001,8.1986529,7.096778400000001,3.07989404,1.79237675,2.00256003
2014/Nov,256.17503819,136.08071706,87.56587066,86.54682684999999,60.32741657,61.44698235,57.31908925,50.7815707,41.20505549,34.38726907,29.55082716,24.97603703,21.38948683,16.55363998,16.03622651,14.020609039999998,14.624058439999999,13.865890039999998,14.44544007,13.680626689999999,11.27553244,7.590459190000001,6.95790345,6.965306559999999,3.1916639300000003,1.9291948700000001,1.5463586299999998
2014/Dez,241.67627649000002,131.24134853,80.30327943,81.25360798,62.25317990999999,58.530316469999995,55.90940084,48.01738337,41.322680420000005,32.85115706,27.96249197,22.97911671,20.805510820000002,15.860056929999999,14.7802878,13.73078149,13.751928710000001,13.20083652,13.37688678,12.81156648,10.9595445,6.59604721,7.091428860000001,6.80354472,2.8628249500000003,1.92745243,1.4440871100000001
2015/Jan,265.63723734,131.69563874,83.53911638,85.25147826999999,65.22949128,61.10795189,58.47216584,50.08335958,40.9937375,33.00727766,28.691072010000003,24.74872311,21.10626386,15.834842779999999,15.39890801,12.28586367,14.71058661,13.59781108,13.27486757,13.43695156,12.14985706,7.84309234,6.5095547300000005,6.98369879,3.1365225299999997,1.95267949,1.64386704
2015/Fev,238.22885291,126.03651047,79.57352324,75.24426384,57.602515149999995,54.94742875,54.02732556,45.51268567,39.541875329999996,32.00042817,26.549566210000002,23.0038801,20.05126768,14.7751749,13.52569018,11.94645793,13.50832895,12.61533121,12.19975861,12.774769970000001,11.3639819,7.19694468,6.15080812,6.62405946,2.9018297000000004,1.65014301,1.59687207
2015/Mar,285.41673348,150.87504127,97.76385309999999,95.20707562999999,67.92851417,69.40803896,63.94578464,54.932727549999996,45.20722627000001,38.24378325,31.911102109999998,28.10920387,24.110409949999998,18.63954797,16.95113159,16.99351309,16.60436715,14.86827977,16.54837234,15.503274189999999,13.37923772,8.40531498,6.98799201,7.50159628,3.04347478,1.80673029,1.94147546
